grid,color1_h,color1_s,color1_v,color2_h,color2_s,color2_v,color3_h,color3_s,color3_v,color4_h,color4_s,color4_v,repeated_colour
"Grid8(1,8)",35,25,73,21,80,12,38,97,88,20,48,72,Orange
"Grid8(2,8)",37,53,31,25,64,91,40,75,54,190,73,49,Orange
"Grid8(3,8)",27,90,41,37,93,55,22,83,80,4,20,72,Orange
"Grid8(4,8)",25,18,96,20,92,19,42,25,28,316,34,17,Orange
"Grid8(5,8)",19,22,35,26,2,21,44,18,26,314,36,94,Orange
"Grid8(6,8)",36,45,75,26,57,23,38,9,56,221,44,44,Orange
"Grid8(7,8)",40,35,84,15,100,40,18,63,17,340,10,77,Orange
"Grid8(8,8)",17,64,71,24,98,61,16,11,42,237,34,34,Orange
"Grid8(9,8)",22,8,56,35,71,66,31,64,75,84,84,10,Orange
"Grid8(10,8)",17,100,66,34,36,27,29,31,51,274,37,22,Orange
"Grid8(11,8)",28,61,100,33,78,11,24,54,72,187,62,51,Orange
"Grid8(12,8)",40,56,36,44,2,88,32,94,6,264,77,89,Orange
"Grid8(13,8)",23,75,28,37,36,15,21,31,1,291,18,54,Orange
"Grid8(14,8)",19,25,72,40,71,97,31,96,30,239,45,10,Orange
"Grid8(15,8)",16,71,0,29,26,3,36,3,17,195,23,66,Orange
"Grid8(16,8)",30,11,33,15,72,56,42,73,22,40,79,51,Orange
"Grid8(17,8)",24,32,73,23,87,19,26,77,76,176,44,96,Orange
"Grid8(18,8)",42,60,48,25,47,61,18,49,38,245,2,44,Orange
"Grid8(19,8)",41,64,70,40,98,16,30,9,79,281,62,89,Orange
"Grid8(20,8)",36,21,13,25,49,24,38,32,67,358,48,44,Orange
"Grid8(21,8)",38,55,62,41,7,58,19,66,34,99,80,39,Orange
"Grid8(22,8)",19,99,9,33,10,83,22,15,51,337,40,72,Orange
"Grid8(23,8)",17,41,52,27,73,58,41,91,34,178,46,99,Orange
"Grid8(24,8)",34,20,66,20,14,11,19,75,1,203,65,19,Orange
"Grid8(25,8)",39,50,4,40,41,48,44,81,39,127,2,39,Orange
"Grid8(26,8)",16,85,24,38,3,91,29,4,29,151,1,52,Orange
"Grid8(0,9)",28,14,93,27,26,86,39,92,47,52,97,20,Orange
"Grid8(1,9)",25,90,43,26,7,68,32,100,21,8,92,22,Orange
"Grid8(2,9)",23,79,0,43,59,65,44,23,65,121,98,66,Orange
"Grid8(3,9)",28,76,12,38,36,21,32,95,16,351,75,51,Orange
"Grid8(4,9)",29,37,72,22,16,64,27,24,70,172,57,16,Orange
"Grid8(5,9)",31,89,28,30,23,16,34,6,99,159,85,97,Orange
"Grid8(6,9)",30,82,53,16,46,57,17,89,47,333,18,9,Orange
"Grid8(7,9)",43,91,80,43,67,6,35,67,26,105,33,7,Orange
"Grid8(8,9)",34,11,61,33,64,81,44,85,86,311,88,85,Orange
"Grid8(9,9)",38,60,76,40,74,25,43,17,94,122,65,0,Orange
"Grid8(10,9)",19,90,17,23,95,90,35,89,27,297,55,4,Orange
"Grid8(11,9)",42,27,3,41,11,17,26,88,60,75,25,94,Orange
"Grid8(12,9)",27,100,43,23,19,29,38,4,65,211,56,62,Orange
"Grid8(13,9)",26,35,54,36,27,3,31,19,99,245,95,16,Orange
"Grid8(14,9)",35,22,83,29,17,54,35,97,75,221,80,85,Orange
"Grid8(15,9)",24,52,24,17,97,55,22,55,46,257,79,65,Orange
"Grid8(16,9)",16,47,52,21,11,71,24,43,65,89,93,0,Orange
"Grid8(17,9)",41,27,86,26,38,87,36,30,34,344,42,6,Orange
"Grid8(18,9)",40,27,64,16,35,31,27,99,52,54,46,14,Orange
"Grid8(19,9)",28,60,91,36,86,65,34,99,47,240,62,54,Orange
"Grid8(20,9)",23,92,2,17,100,37,33,71,77,282,95,94,Orange
"Grid8(21,9)",21,35,79,42,28,92,18,90,35,236,76,89,Orange
"Grid8(22,9)",16,58,45,22,69,64,37,47,20,187,75,16,Orange
"Grid8(23,9)",21,86,7,15,42,61,32,99,2,135,45,90,Orange
"Grid8(24,9)",39,93,51,27,58,24,30,25,77,341,97,52,Orange
"Grid8(25,9)",31,67,19,34,22,64,27,21,80,304,58,34,Orange
"Grid8(26,9)",25,97,96,19,28,74,38,52,48,143,22,71,Orange
"Grid8(0,10)",29,0,4,33,68,38,35,52,43,181,32,22,Orange
"Grid8(1,10)",17,29,84,25,84,12,21,1,22,208,25,9,Orange
"Grid8(2,10)",34,92,54,38,48,3,29,60,53,326,12,0,Orange
"Grid8(3,10)",22,60,89,15,97,81,37,64,55,245,78,0,Orange
"Grid8(4,10)",20,78,30,41,74,63,27,62,49,168,30,39,Orange
"Grid8(5,10)",36,63,97,22,51,28,31,22,19,87,27,65,Orange
"Grid8(6,10)",39,41,34,26,16,57,42,4,78,294,68,50,Orange
"Grid8(7,10)",39,58,39,42,17,0,19,73,89,202,60,81,Orange
"Grid8(8,10)",28,9,96,16,39,35,35,42,75,45,58,31,Orange
"Grid8(9,10)",26,38,88,31,86,35,36,2,37,340,57,34,Orange
"Grid8(10,10)",40,82,68,20,51,65,25,92,48,71,90,51,Orange
"Grid8(11,10)",28,86,19,23,18,78,25,38,0,266,67,9,Orange
"Grid8(12,10)",23,66,6,38,0,53,40,44,4,298,45,18,Orange
"Grid8(13,10)",40,51,53,23,94,12,35,96,68,209,26,49,Orange
"Grid8(14,10)",44,45,56,44,58,16,25,15,63,309,1,21,Orange
"Grid8(15,10)",37,73,69,36,67,88,32,0,96,222,64,6,Orange
"Grid8(16,10)",43,57,83,18,54,48,31,91,98,141,21,64,Orange
"Grid8(17,10)",28,35,0,37,86,13,24,74,1,72,97,67,Orange
"Grid8(18,10)",27,63,57,19,7,20,34,17,65,337,38,58,Orange
"Grid8(19,10)",24,59,97,30,65,22,40,64,81,358,5,30,Orange
"Grid8(20,10)",43,95,27,23,5,3,24,49,95,244,31,11,Orange
"Grid8(21,10)",32,28,98,27,85,56,18,86,89,327,53,81,Orange
"Grid8(22,10)",38,48,41,20,43,100,16,38,58,335,80,19,Orange
"Grid8(23,10)",25,40,50,32,49,4,18,68,24,175,22,94,Orange
"Grid8(24,10)",38,40,27,18,11,100,23,15,94,341,60,11,Orange
"Grid8(25,10)",39,54,84,23,25,17,37,60,84,121,40,80,Orange
"Grid8(26,10)",18,20,72,36,47,89,17,43,86,162,98,84,Orange
"Grid8(0,11)",31,31,13,18,22,39,39,29,52,261,21,43,Orange
"Grid8(1,11)",30,59,98,25,90,0,30,56,67,182,75,90,Orange
"Grid8(2,11)",31,21,62,29,63,3,24,89,49,226,8,9,Orange
"Grid8(3,11)",35,57,32,42,31,92,43,28,78,275,56,88,Orange
"Grid8(4,11)",17,46,75,22,97,4,30,54,34,280,27,77,Orange
"Grid8(5,11)",38,37,18,20,1,33,29,55,92,345,80,33,Orange
"Grid8(6,11)",42,35,65,22,43,86,38,89,70,202,99,22,Orange
"Grid8(7,11)",44,19,86,44,6,60,25,21,76,231,25,91,Orange
"Grid8(8,11)",16,12,41,28,9,94,41,18,58,256,54,58,Orange
"Grid8(9,11)",35,10,97,40,50,45,33,85,85,173,25,67,Orange
"Grid8(10,11)",19,73,10,18,23,31,19,44,2,147,91,14,Orange
"Grid8(11,11)",26,64,53,29,61,74,28,17,87,342,95,1,Orange
"Grid8(12,11)",25,56,72,44,18,91,16,88,92,17,55,44,Orange
"Grid8(13,11)",29,74,44,15,67,97,38,19,15,181,9,20,Orange
"Grid8(14,11)",35,90,25,32,41,43,16,70,52,206,53,15,Orange
"Grid8(15,11)",15,72,64,15,29,66,21,8,17,32,1,56,Orange
"Grid8(16,11)",15,76,10,34,98,24,39,7,10,305,51,21,Orange
"Grid8(17,11)",31,89,1,24,83,51,43,86,32,106,81,42,Orange
"Grid8(18,11)",33,4,76,36,84,81,30,98,21,67,56,62,Orange
"Grid8(19,11)",29,47,35,23,0,34,20,61,96,241,47,10,Orange
"Grid8(20,11)",23,11,75,25,65,65,31,89,70,11,9,67,Orange
"Grid8(21,11)",38,71,81,22,53,97,31,69,87,246,31,87,Orange
"Grid8(22,11)",39,22,49,44,71,59,40,41,25,207,49,75,Orange
"Grid8(23,11)",19,1,20,30,0,68,16,0,87,204,17,76,Orange
"Grid8(24,11)",16,91,79,27,35,96,24,4,4,333,49,62,Orange
"Grid8(25,11)",31,98,5,37,17,44,43,7,5,36,7,53,Orange
"Grid8(26,11)",20,100,76,40,47,96,44,37,51,20,87,96,Orange
"Grid8(0,12)",35,92,48,35,84,95,29,3,98,138,59,93,Orange
"Grid8(1,12)",18,13,13,21,73,51,25,73,7,313,77,8,Orange
"Grid8(2,12)",41,60,66,21,25,19,24,20,22,20,28,85,Orange
"Grid8(3,12)",15,97,41,30,54,11,32,48,14,202,11,90,Orange
"Grid8(4,12)",30,43,33,34,81,17,19,59,12,165,32,12,Orange
"Grid8(5,12)",30,36,11,39,82,2,39,31,77,321,78,16,Orange
"Grid8(6,12)",33,7,54,25,38,10,37,36,48,0,15,88,Orange
"Grid8(7,12)",44,54,54,43,94,72,35,80,83,100,16,31,Orange
"Grid8(8,12)",44,97,79,26,17,61,39,52,26,81,38,24,Orange
"Grid8(9,12)",24,17,58,42,15,92,24,50,15,72,8,24,Orange
"Grid8(10,12)",26,63,5,44,52,77,29,53,0,338,66,34,Orange
"Grid8(11,12)",30,64,1,32,21,28,33,27,70,350,42,49,Orange
"Grid8(12,12)",30,46,16,35,20,37,38,46,70,189,39,88,Orange
"Grid8(13,12)",42,68,66,35,1,26,31,38,2,6,63,53,Orange
"Grid8(14,12)",33,54,1,42,50,87,23,45,52,72,43,8,Orange
"Grid8(15,12)",18,73,12,22,93,36,30,85,94,64,92,48,Orange
"Grid8(16,12)",42,78,8,30,1,49,19,30,99,271,42,8,Orange
"Grid8(17,12)",36,21,39,32,6,32,17,89,42,239,71,100,Orange
"Grid8(18,12)",29,84,73,43,56,60,42,96,1,283,77,68,Orange
"Grid8(19,12)",40,93,46,22,57,21,33,89,47,237,27,59,Orange
"Grid8(20,12)",33,20,82,18,84,1,39,47,47,97,92,4,Orange
"Grid8(21,12)",26,49,6,29,33,33,24,25,24,117,10,27,Orange
"Grid8(22,12)",38,83,81,16,36,67,20,1,7,131,58,67,Orange
"Grid8(23,12)",36,33,57,28,14,92,23,22,74,255,91,34,Orange
"Grid8(24,12)",18,22,51,37,50,59,40,1,40,256,12,97,Orange
"Grid8(25,12)",38,89,88,16,58,21,16,96,60,94,12,100,Orange
"Grid8(26,12)",26,59,6,43,87,73,20,83,9,91,4,90,Orange
"Grid8(0,13)",39,12,70,20,33,84,39,48,54,333,98,90,Orange
"Grid8(1,13)",16,97,9,25,48,11,35,17,18,196,1,25,Orange
"Grid8(2,13)",28,68,52,26,65,7,29,7,61,281,31,18,Orange
"Grid8(3,13)",38,53,9,20,54,47,26,69,55,246,50,41,Orange
"Grid8(4,13)",18,78,48,43,73,10,33,14,88,286,53,51,Orange
"Grid8(5,13)",27,90,42,16,67,100,34,70,93,297,31,4,Orange
"Grid8(6,13)",23,22,12,16,54,50,30,77,77,355,69,30,Orange
"Grid8(7,13)",32,50,46,39,36,77,22,36,45,62,39,86,Orange
"Grid8(8,13)",34,42,100,39,67,22,40,11,38,152,22,72,Orange
"Grid8(9,13)",15,60,35,38,20,1,28,50,21,133,96,1,Orange
"Grid8(10,13)",44,52,50,36,12,42,30,7,41,200,14,96,Orange
"Grid8(11,13)",34,46,87,25,11,84,25,28,97,338,79,15,Orange
"Grid8(12,13)",27,70,9,38,34,37,27,2,41,95,67,17,Orange
"Grid8(13,13)",37,86,17,32,33,13,28,83,81,58,97,24,Orange
"Grid8(14,13)",44,43,19,41,100,27,40,2,59,204,74,96,Orange
"Grid8(15,13)",38,62,70,38,6,19,28,51,85,167,35,18,Orange
"Grid8(16,13)",24,34,23,43,85,69,17,93,77,171,60,34,Orange
"Grid8(17,13)",23,40,9,30,65,91,30,72,29,32,12,69,Orange
"Grid8(18,13)",29,56,66,20,62,78,32,27,2,41,31,66,Orange
"Grid8(19,13)",19,27,37,16,85,36,20,97,44,160,52,89,Orange
"Grid8(20,13)",26,15,11,21,40,5,20,63,43,102,35,60,Orange
"Grid8(21,13)",33,15,61,39,49,43,44,12,62,24,24,75,Orange
"Grid8(22,13)",15,74,86,22,62,22,23,73,32,17,62,73,Orange
"Grid8(23,13)",32,13,98,33,5,70,21,38,78,170,3,38,Orange
"Grid8(24,13)",43,4,97,43,83,14,17,2,61,297,63,66,Orange
"Grid8(25,13)",18,56,17,28,63,92,19,85,1,220,6,69,Orange
"Grid8(26,13)",39,55,53,22,1,66,36,95,16,298,8,36,Orange
"Grid8(0,14)",35,68,37,31,60,25,28,79,67,233,71,55,Orange
"Grid8(1,14)",20,29,14,30,36,5,42,41,58,95,37,38,Orange
"Grid8(2,14)",31,8,80,29,24,42,17,57,61,129,52,3,Orange
"Grid8(3,14)",35,66,7,28,56,96,30,60,65,308,41,67,Orange
"Grid8(4,14)",36,58,91,22,38,39,31,94,27,32,76,70,Orange
"Grid8(5,14)",30,4,91,18,15,5,40,3,24,27,15,77,Orange
"Grid8(6,14)",17,61,99,38,93,35,38,86,70,242,23,90,Orange
"Grid8(7,14)",40,91,67,25,9,24,23,72,83,33,49,54,Orange
"Grid8(8,14)",38,70,0,31,25,15,20,18,71,122,55,20,Orange
"Grid8(9,14)",15,16,58,42,6,33,16,51,75,64,61,48,Orange
"Grid8(10,14)",21,87,51,32,52,100,33,100,56,39,34,30,Orange
"Grid8(11,14)",33,88,21,35,85,84,40,67,74,23,0,33,Orange
"Grid8(12,14)",22,54,43,35,25,70,23,45,71,285,46,17,Orange
"Grid8(13,14)",25,42,93,30,18,96,44,52,49,9,97,87,Orange
"Grid8(14,14)",23,73,1,23,58,43,44,56,58,199,92,75,Orange
"Grid8(15,14)",43,93,23,34,28,57,41,42,53,24,15,7,Orange
"Grid8(16,14)",43,76,22,43,99,39,37,7,57,321,93,20,Orange
"Grid8(17,14)",26,51,53,22,10,13,32,46,18,91,78,39,Orange
"Grid8(18,14)",23,68,46,16,14,67,32,72,30,112,91,60,Orange
"Grid8(19,14)",29,29,11,28,80,13,39,89,14,90,86,69,Orange
"Grid8(20,14)",18,29,37,32,26,1,42,18,4,247,73,68,Orange
"Grid8(21,14)",22,11,26,16,44,58,38,66,43,195,60,80,Orange
"Grid8(22,14)",39,32,43,23,74,67,27,55,97,254,17,51,Orange
"Grid8(23,14)",34,81,53,43,93,3,20,62,30,147,49,54,Orange
"Grid8(24,14)",26,48,31,17,55,0,43,14,46,200,26,75,Orange
"Grid8(25,14)",27,76,3,38,31,56,43,8,36,153,75,96,Orange
"Grid8(26,14)",38,45,88,40,23,49,43,39,78,117,55,95,Orange
"Grid8(0,15)",15,37,45,22,51,83,23,33,52,236,58,56,Orange
"Grid8(1,15)",41,88,35,44,25,41,40,99,28,18,35,21,Orange
"Grid8(2,15)",31,47,49,36,83,86,19,65,86,332,57,22,Orange
"Grid8(3,15)",32,98,83,42,22,66,25,62,22,140,49,0,Orange
"Grid8(4,15)",32,81,45,36,64,68,43,99,39,262,66,50,Orange
"Grid8(5,15)",17,31,33,30,22,10,44,34,45,332,33,65,Orange
"Grid8(6,15)",37,80,47,34,99,39,29,26,55,26,27,91,Orange
"Grid8(7,15)",38,5,8,24,27,44,16,45,22,312,37,10,Orange
"Grid8(8,15)",23,53,52,22,53,56,36,67,99,87,19,30,Orange
"Grid8(9,15)",16,6,55,41,7,83,39,28,94,110,21,71,Orange
"Grid8(10,15)",34,74,0,15,80,8,38,55,59,34,55,98,Orange
"Grid8(11,15)",27,76,29,29,89,73,17,55,78,150,63,51,Orange
"Grid8(12,15)",29,20,61,31,31,79,22,24,29,190,95,14,Orange
"Grid8(13,15)",24,87,43,32,66,47,32,99,44,264,87,17,Orange
"Grid8(14,15)",27,72,83,15,79,5,20,25,97,112,51,88,Orange
"Grid8(15,15)",40,42,54,23,66,37,18,18,32,252,59,0,Orange
"Grid8(16,15)",34,50,64,36,77,50,18,32,50,339,12,65,Orange
"Grid8(17,15)",40,86,16,19,91,52,32,2,16,227,32,62,Orange
"Grid8(18,15)",33,87,18,42,63,29,42,25,5,1,71,34,Orange
"Grid8(19,15)",15,23,60,22,21,77,30,91,20,333,47,45,Orange
"Grid8(20,15)",31,43,85,33,50,47,30,11,49,201,83,89,Orange
"Grid8(21,15)",17,100,11,27,64,22,24,54,26,319,73,27,Orange
"Grid8(22,15)",19,95,78,20,98,54,28,42,52,166,7,100,Orange
"Grid8(23,15)",31,12,25,30,65,52,20,12,16,305,21,89,Orange
"Grid8(24,15)",38,56,15,16,27,53,24,14,72,143,60,63,Orange
"Grid8(25,15)",34,0,58,16,78,64,26,13,3,281,50,89,Orange
"Grid8(26,15)",22,63,4,41,81,96,21,100,92,327,59,60,Orange
"Grid8(0,16)",37,15,80,30,95,94,35,82,68,331,13,58,Orange
"Grid8(1,16)",20,93,39,29,38,5,43,78,29,246,50,65,Orange
"Grid8(2,16)",39,1,83,38,40,58,34,52,57,18,54,49,Orange
"Grid8(3,16)",23,49,66,36,8,96,43,57,84,189,98,70,Orange
"Grid8(4,16)",15,59,41,35,49,9,44,99,79,79,71,25,Orange
"Grid8(5,16)",26,86,89,31,60,75,40,47,38,247,47,68,Orange
"Grid8(6,16)",41,33,52,16,8,61,42,41,47,1,54,100,Orange
"Grid8(7,16)",32,59,15,31,18,25,16,87,33,122,52,44,Orange
"Grid8(8,16)",19,18,85,29,64,58,27,18,88,188,65,8,Orange
"Grid8(9,16)",25,46,82,17,99,43,37,75,52,317,65,52,Orange
"Grid8(10,16)",25,54,59,23,80,53,35,79,61,21,18,12,Orange
"Grid8(11,16)",17,11,79,25,1,83,17,71,13,173,11,14,Orange
"Grid8(12,16)",24,78,27,30,91,26,25,35,26,112,91,94,Orange
"Grid8(13,16)",16,89,74,43,20,26,25,51,33,295,60,51,Orange
"Grid8(14,16)",31,88,70,43,75,12,41,92,50,160,35,35,Orange
"Grid8(15,16)",27,24,53,18,65,75,24,55,34,104,88,2,Orange
"Grid8(16,16)",18,3,15,16,95,13,29,59,17,200,83,89,Orange
"Grid8(17,16)",37,14,11,21,99,7,27,98,77,129,9,5,Orange
"Grid8(18,16)",22,81,50,41,22,74,18,13,71,3,3,54,Orange
"Grid8(19,16)",34,63,15,39,73,42,26,41,64,107,78,64,Orange
"Grid8(20,16)",44,69,21,17,14,37,24,96,23,210,44,25,Orange
"Grid8(21,16)",19,72,43,35,64,36,24,5,74,336,58,89,Orange
"Grid8(22,16)",36,95,64,20,39,46,37,34,52,273,97,71,Orange
"Grid8(23,16)",32,15,2,18,36,42,30,0,99,318,7,55,Orange
"Grid8(24,16)",35,97,5,28,86,51,34,69,49,203,87,43,Orange
"Grid8(25,16)",39,56,11,15,39,39,26,27,100,245,87,88,Orange
"Grid8(26,16)",29,91,53,15,27,16,26,10,67,1,28,18,Orange
"Grid8(0,17)",39,47,73,26,69,49,21,7,78,20,14,29,Orange
"Grid8(1,17)",23,16,58,31,0,48,23,28,61,29,26,46,Orange
"Grid8(2,17)",39,27,69,21,85,27,38,4,52,134,40,92,Orange
"Grid8(3,17)",33,61,15,40,32,41,43,50,60,54,0,86,Orange
"Grid8(4,17)",26,36,89,38,3,11,26,20,60,338,93,91,Orange
"Grid8(5,17)",31,7,45,33,60,45,38,50,24,92,80,70,Orange
"Grid8(6,17)",35,30,33,44,12,4,34,25,21,293,93,41,Orange
"Grid8(7,17)",25,21,92,23,70,25,17,9,18,32,10,48,Orange
"Grid8(8,17)",34,15,57,41,64,82,26,99,39,327,17,3,Orange
"Grid8(9,17)",17,0,79,35,73,43,42,55,23,125,35,43,Orange
"Grid8(10,17)",21,51,49,41,63,26,29,48,63,56,6,60,Orange
"Grid8(11,17)",22,82,53,33,41,90,33,42,97,61,45,0,Orange
"Grid8(12,17)",23,24,69,40,15,97,15,80,53,303,80,77,Orange
"Grid8(13,17)",37,75,33,39,28,40,30,79,28,284,7,51,Orange
"Grid8(14,17)",40,8,43,39,77,6,21,86,23,351,87,62,Orange
"Grid8(15,17)",31,75,8,22,76,81,44,79,39,309,11,26,Orange
"Grid8(16,17)",40,36,33,24,47,8,30,85,91,37,45,78,Orange
"Grid8(17,17)",39,84,2,38,58,79,26,1,25,333,9,50,Orange
"Grid8(18,17)",20,48,33,15,16,13,35,68,0,147,9,81,Orange
"Grid8(19,17)",40,50,73,20,44,38,40,88,80,78,53,36,Orange
"Grid8(20,17)",34,12,21,36,88,64,33,30,57,325,90,17,Orange
"Grid8(21,17)",34,28,26,26,32,86,15,94,50,334,85,35,Orange
"Grid8(22,17)",24,82,64,41,24,73,33,99,19,117,21,93,Orange
"Grid8(23,17)",35,40,20,33,19,61,36,16,80,83,64,60,Orange
"Grid8(24,17)",18,65,100,21,72,34,41,7,9,181,22,45,Orange
"Grid8(25,17)",41,63,18,19,70,81,44,35,43,187,41,84,Orange
"Grid8(26,17)",29,53,97,38,75,70,25,53,90,357,30,41,Orange
"Grid8(0,18)",22,58,71,16,92,87,34,24,92,160,16,76,Orange
"Grid8(1,18)",36,7,47,26,47,78,30,70,1,77,75,88,Orange
"Grid8(2,18)",21,77,61,31,8,40,25,50,1,70,56,16,Orange
"Grid8(3,18)",37,36,91,35,37,49,42,34,90,225,49,9,Orange
"Grid8(4,18)",31,27,26,39,1,86,27,74,48,2,23,80,Orange
"Grid8(5,18)",27,25,15,26,67,38,30,66,12,7,2,9,Orange
"Grid8(6,18)",27,83,25,18,15,45,31,38,69,304,4,1,Orange
"Grid8(7,18)",36,41,61,36,35,48,29,43,58,88,17,37,Orange
"Grid8(8,18)",30,43,52,32,38,34,24,71,76,59,67,12,Orange
"Grid8(9,18)",19,34,6,34,57,99,23,83,87,331,49,82,Orange
"Grid8(10,18)",21,73,79,43,68,59,24,20,46,252,3,43,Orange
"Grid8(11,18)",32,31,73,33,29,30,22,31,97,173,69,40,Orange
"Grid8(12,18)",27,97,37,35,2,35,36,28,25,38,10,24,Orange
"Grid8(13,18)",28,97,56,44,27,90,43,25,60,236,30,56,Orange
"Grid8(14,18)",20,52,32,20,44,40,26,39,8,92,41,81,Orange
"Grid8(15,18)",40,48,81,22,43,73,20,55,72,218,100,5,Orange
"Grid8(16,18)",16,2,58,43,70,77,42,91,26,193,37,90,Orange
"Grid8(17,18)",40,79,97,20,39,94,33,70,44,272,21,32,Orange
"Grid8(18,18)",31,58,8,26,59,90,20,27,49,303,82,86,Orange
"Grid8(19,18)",37,42,50,36,56,7,36,39,23,302,80,30,Orange
"Grid8(20,18)",30,50,77,38,72,6,34,96,84,141,30,100,Orange
"Grid8(21,18)",44,88,4,27,90,18,32,48,83,267,97,84,Orange
"Grid8(22,18)",32,23,49,34,93,89,43,69,96,272,58,99,Orange
"Grid8(23,18)",21,5,77,15,68,59,40,61,98,233,28,31,Orange
"Grid8(24,18)",28,83,54,36,95,22,18,65,98,201,1,83,Orange
"Grid8(25,18)",15,48,82,42,1,69,27,99,53,118,3,33,Orange
"Grid8(26,18)",31,39,32,21,71,9,41,47,61,245,10,63,Orange
"Grid8(0,19)",34,0,31,34,51,66,40,55,76,2,39,32,Orange
"Grid8(1,19)",24,96,66,35,32,74,41,74,8,114,39,91,Orange
"Grid8(2,19)",31,86,20,42,18,61,18,43,17,256,98,71,Orange
"Grid8(3,19)",35,53,43,41,95,59,30,7,82,201,97,75,Orange
"Grid8(4,19)",40,73,45,34,53,40,33,1,6,266,85,72,Orange
"Grid8(5,19)",25,100,11,27,17,54,40,34,10,326,91,13,Orange
"Grid8(6,19)",27,94,85,42,63,11,23,91,55,79,68,80,Orange
"Grid8(7,19)",32,1,27,36,19,24,28,96,36,138,83,49,Orange
"Grid8(8,19)",19,81,29,37,2,44,40,77,60,358,96,58,Orange
"Grid8(9,19)",15,0,51,34,16,19,17,0,14,191,47,93,Orange
"Grid8(10,19)",33,67,25,17,37,38,28,52,89,66,21,60,Orange
"Grid8(11,19)",25,1,19,36,92,64,34,37,6,261,93,37,Orange
"Grid8(12,19)",18,33,97,41,85,69,20,46,40,260,62,78,Orange
"Grid8(13,19)",30,90,84,32,97,40,28,91,67,186,22,34,Orange
"Grid8(14,19)",31,60,27,40,97,86,27,88,39,69,2,63,Orange
"Grid8(15,19)",31,63,39,27,89,87,44,100,87,217,4,46,Orange
"Grid8(16,19)",37,25,48,26,79,81,26,52,42,40,90,16,Orange
"Grid8(17,19)",40,44,78,35,22,15,21,36,56,168,59,8,Orange
"Grid8(18,19)",41,60,78,38,6,50,33,14,3,297,71,47,Orange
"Grid8(19,19)",21,23,100,19,92,92,21,45,12,256,41,74,Orange
"Grid8(20,19)",38,69,95,20,16,7,37,67,76,197,31,28,Orange
"Grid8(21,19)",44,91,24,27,83,64,37,17,91,325,13,72,Orange
"Grid8(22,19)",19,63,49,27,99,3,37,9,1,334,5,2,Orange
"Grid8(23,19)",15,88,92,24,79,40,16,83,77,53,6,58,Orange
"Grid8(24,19)",42,64,17,24,91,65,22,22,58,172,26,17,Orange
"Grid8(25,19)",44,30,51,39,34,50,43,80,61,132,47,9,Orange
"Grid8(26,19)",28,40,61,42,20,93,37,19,64,110,88,6,Orange
"Grid8(0,20)",17,94,18,16,19,29,38,4,74,112,83,10,Orange
"Grid8(1,20)",34,58,30,31,4,48,15,71,71,133,70,70,Orange
"Grid8(2,20)",43,80,5,18,87,1,30,24,50,146,82,66,Orange
"Grid8(3,20)",15,91,99,20,83,19,44,6,40,40,52,13,Orange
"Grid8(4,20)",15,94,10,39,97,64,30,16,72,339,47,90,Orange
"Grid8(5,20)",24,56,93,16,65,49,28,87,76,329,37,90,Orange
"Grid8(6,20)",22,4,63,23,4,25,43,25,50,187,1,3,Orange
"Grid8(7,20)",43,72,54,19,69,65,26,43,48,305,75,64,Orange
"Grid8(8,20)",31,20,89,42,32,48,21,68,28,182,22,35,Orange
"Grid8(9,20)",38,69,38,38,60,42,25,64,74,98,0,47,Orange
"Grid8(10,20)",33,80,31,22,26,29,40,84,19,212,15,92,Orange
"Grid8(11,20)",22,33,37,21,73,40,34,70,25,273,15,57,Orange
"Grid8(12,20)",42,33,91,41,45,21,27,52,55,3,54,64,Orange
"Grid8(13,20)",19,100,76,40,47,37,39,0,91,101,42,51,Orange
"Grid8(14,20)",36,96,38,32,64,84,19,84,70,298,42,2,Orange
"Grid8(15,20)",36,57,81,22,52,100,29,4,31,53,62,56,Orange
"Grid8(16,20)",35,93,17,42,34,60,15,83,52,234,53,24,Orange
"Grid8(17,20)",29,23,2,20,69,85,34,66,100,307,54,87,Orange
"Grid8(18,20)",24,38,90,41,98,84,30,42,70,341,87,55,Orange
"Grid8(19,20)",43,17,27,31,54,53,37,78,94,120,58,84,Orange
"Grid8(20,20)",30,93,14,20,1,14,41,84,15,181,63,20,Orange
"Grid8(21,20)",32,23,97,44,7,35,16,85,41,152,20,89,Orange
"Grid8(22,20)",25,10,50,27,89,9,38,54,9,327,23,12,Orange
"Grid8(23,20)",17,98,100,17,22,34,15,54,81,290,44,33,Orange
"Grid8(24,20)",37,3,90,16,10,4,42,42,83,354,73,4,Orange
"Grid8(25,20)",23,5,26,27,87,25,40,97,56,300,96,26,Orange
"Grid8(26,20)",21,31,63,25,41,27,15,91,98,351,99,44,Orange
"Grid8(0,21)",28,28,53,22,81,100,17,1,11,182,18,46,Orange
"Grid8(1,21)",39,93,26,18,23,31,18,37,98,118,77,87,Orange
"Grid8(2,21)",34,71,16,43,72,93,18,19,55,145,64,45,Orange
"Grid8(3,21)",35,63,28,16,89,52,27,14,1,120,79,15,Orange
"Grid8(4,21)",26,85,75,42,0,71,37,27,91,188,86,48,Orange
"Grid8(5,21)",33,5,61,24,19,22,17,17,49,183,75,95,Orange
"Grid8(6,21)",29,19,26,36,9,91,37,18,24,255,66,48,Orange
