grid,color1_h,color1_s,color1_v,colour_name,color2_h,color2_s,color2_v,colour_name.1,color3_h,color3_s,color3_v,colour_name.2,color4_h,color4_s,color4_v,colour_name.3,repeated_colour
"Grid4(15, 4)",103,125,78,Inchworm,99,120,77,Inchworm,90,108,58,Inchworm,84,102,52,Inchworm,Inchworm
"Grid4(15, 5)",61,79,55,Lawn Green,66,84,60,Lawn Green,69,87,63,Lawn Green,62,80,56,Lawn Green,Lawn Green
"Grid4(15, 6)",98,114,52,Inchworm,56,75,45,Lawn Green,106,122,83,Inchworm,109,124,67,Inchworm,Inchworm
"Grid4(15, 10)",87,114,63,Lawn Green,93,120,69,Lawn Green,94,121,70,Lawn Green,92,119,68,Lawn Green,Lawn Green
"Grid4(15, 11)",89,111,62,Inchworm,97,119,70,Inchworm,98,120,71,Inchworm,100,122,73,Inchworm,Inchworm
"Grid4(15, 13)",61,85,53,Lawn Green,60,84,52,Lawn Green,59,83,51,Lawn Green,105,124,69,Inchworm,Lawn Green
"Grid4(15, 14)",63,86,60,Lawn Green,66,89,63,Lawn Green,55,78,52,Lawn Green,64,87,61,Lawn Green,Lawn Green
"Grid4(15, 15)",64,79,50,Lawn Green,63,78,49,Lawn Green,68,83,54,Lawn Green,66,81,52,Lawn Green,Lawn Green
"Grid4(15, 16)",99,120,137,Asparagus,97,118,135,Asparagus,95,116,133,Asparagus,107,123,138,Asparagus,Asparagus
"Grid4(15, 17)",125,114,94,Red,130,119,99,Red,102,96,74,Orange,128,117,97,Red,Red
"Grid4(15, 19)",89,144,149,Dollar Bill,95,151,152,Dollar Bill,96,152,153,Dollar Bill,90,146,147,Dollar Bill,Dollar Bill
"Grid4(15, 20)",94,147,139,Pistachio,98,155,149,Pistachio,95,148,138,Pistachio,85,136,139,Dollar Bill,Pistachio
"Grid4(15, 21)",39,51,37,Lawn Green,41,53,39,Lawn Green,42,54,40,Lawn Green,43,55,41,Lawn Green,Lawn Green
"Grid4(15, 22)",29,44,39,Pastel Green,26,41,36,Pastel Green,25,40,35,Pastel Green,52,59,41,Inchworm,Pastel Green
"Grid4(15, 23)",86,109,29,Inchworm,83,105,30,Inchworm,81,102,35,Inchworm,60,77,32,Inchworm,Inchworm
"Grid4(15, 24)",74,94,59,Lawn Green,98,105,61,Orange,95,102,58,Orange,97,104,60,Orange,Orange
"Grid4(15, 26)",60,77,33,Inchworm,74,93,37,Inchworm,63,80,36,Inchworm,55,73,23,Inchworm,Inchworm
"Grid4(15, 27)",79,88,57,Inchworm,69,78,47,Inchworm,61,77,41,Inchworm,84,103,47,Inchworm,Inchworm
"Grid4(15, 29)",54,69,40,Lawn Green,63,78,49,Lawn Green,66,87,48,Lawn Green,38,56,32,Lawn Green,Lawn Green
"Grid4(15, 30)",68,84,45,Inchworm,52,67,38,Lawn Green,87,103,64,Inchworm,79,96,52,Inchworm,Inchworm
"Grid4(15, 31)",83,99,60,Inchworm,68,84,45,Inchworm,82,98,59,Inchworm,73,89,50,Inchworm,Inchworm
"Grid4(15, 33)",83,94,52,Inchworm,90,101,59,Inchworm,89,100,58,Inchworm,86,97,55,Inchworm,Inchworm
"Grid4(15, 34)",69,87,39,Inchworm,65,80,49,Inchworm,69,87,37,Inchworm,68,87,32,Inchworm,Inchworm
"Grid4(15, 35)",45,63,39,Lawn Green,38,62,30,Lawn Green,57,73,34,Inchworm,51,75,43,Lawn Green,Lawn Green
"Grid4(15, 36)",79,100,59,Lawn Green,70,90,55,Lawn Green,72,92,57,Lawn Green,75,95,60,Lawn Green,Lawn Green
"Grid4(15, 37)",43,48,42,Lawn Green,42,47,41,Lawn Green,45,50,44,Lawn Green,46,51,45,Lawn Green,Lawn Green
"Grid4(16, 0)",59,82,56,Lawn Green,55,78,52,Lawn Green,67,90,64,Lawn Green,61,84,58,Lawn Green,Lawn Green
"Grid4(16, 1)",22,32,33,Dollar Bill,42,53,49,Pastel Green,45,56,52,Pastel Green,46,57,53,Pastel Green,Pastel Green
"Grid4(16, 3)",69,91,45,Inchworm,73,103,65,Lawn Green,66,95,64,Lawn Green,81,113,66,Lawn Green,Lawn Green
"Grid4(16, 7)",72,100,42,Inchworm,68,90,44,Inchworm,69,95,50,Lawn Green,99,125,62,Inchworm,Inchworm
"Grid4(16, 10)",96,116,57,Inchworm,108,129,60,Inchworm,100,121,56,Inchworm,104,124,65,Inchworm,Inchworm
"Grid4(16, 11)",87,110,54,Inchworm,93,117,59,Inchworm,83,105,58,Inchworm,38,55,37,Lawn Green,Inchworm
"Grid4(16, 12)",73,98,56,Lawn Green,82,93,51,Inchworm,82,107,65,Lawn Green,75,100,58,Lawn Green,Lawn Green
"Grid4(16, 14)",92,111,81,Lawn Green,81,100,70,Lawn Green,50,67,48,Lawn Green,97,116,86,Lawn Green,Lawn Green
"Grid4(16, 15)",74,83,56,Inchworm,76,85,56,Inchworm,76,92,53,Inchworm,69,77,56,Inchworm,Inchworm
"Grid4(16, 16)",108,124,139,Asparagus,106,122,137,Asparagus,104,120,135,Asparagus,101,123,136,Asparagus,Asparagus
"Grid4(16, 17)",98,120,133,Asparagus,99,121,134,Asparagus,102,124,137,Asparagus,116,121,67,Orange,Asparagus
"Grid4(16, 18)",83,101,53,Inchworm,89,101,55,Inchworm,84,102,54,Inchworm,85,103,55,Inchworm,Inchworm
"Grid4(16, 19)",89,136,144,Dollar Bill,69,92,66,Lawn Green,92,139,147,Dollar Bill,97,144,152,Dollar Bill,Dollar Bill
"Grid4(16, 21)",81,134,126,Pistachio,96,153,144,Pistachio,126,182,183,Dollar Bill,122,179,173,Pistachio,Pistachio
"Grid4(16, 22)",77,97,62,Lawn Green,78,99,58,Lawn Green,109,134,69,Inchworm,73,93,56,Lawn Green,Lawn Green
"Grid4(16, 24)",63,85,39,Inchworm,70,92,46,Inchworm,73,90,46,Inchworm,67,84,40,Inchworm,Inchworm
"Grid4(16, 25)",72,74,35,Orange,72,87,20,Orange,82,98,27,Orange,70,83,29,Orange,Orange
"Grid4(16, 26)",95,109,24,Orange,102,116,31,Orange,96,110,25,Orange,90,107,29,Orange,Orange
"Grid4(16, 27)",87,97,34,Orange,87,98,30,Orange,95,107,33,Orange,85,97,25,Orange,Orange
"Grid4(16, 28)",85,104,49,Inchworm,59,81,34,Inchworm,87,101,40,Orange,91,110,55,Inchworm,Inchworm
"Grid4(16, 29)",46,58,44,Lawn Green,60,80,45,Lawn Green,61,81,46,Lawn Green,59,79,44,Lawn Green,Lawn Green
"Grid4(16, 30)",85,107,58,Inchworm,78,100,51,Inchworm,83,105,56,Inchworm,60,79,23,Inchworm,Inchworm
"Grid4(16, 31)",38,58,47,Celadon,38,59,44,Celadon,39,59,48,Celadon,41,62,45,Bright Green,Celadon
"Grid4(16, 32)",79,86,44,Orange,80,87,45,Orange,66,72,36,Orange,87,103,32,Orange,Orange
"Grid4(16, 33)",90,105,40,Orange,72,82,47,Inchworm,84,95,52,Inchworm,71,81,46,Inchworm,Inchworm
"Grid4(16, 34)",71,89,41,Inchworm,71,89,39,Inchworm,66,84,32,Inchworm,74,92,44,Inchworm,Inchworm
"Grid4(16, 35)",62,78,39,Inchworm,58,74,35,Inchworm,57,73,34,Inchworm,60,76,37,Inchworm,Inchworm
"Grid4(16, 36)",80,95,62,Inchworm,76,91,58,Inchworm,86,99,43,Orange,60,75,42,Inchworm,Inchworm
"Grid4(16, 37)",47,54,38,Inchworm,45,52,36,Inchworm,48,55,39,Inchworm,44,51,35,Inchworm,Inchworm
"Grid4(17, 2)",44,48,51,Asparagus,36,40,41,Dollar Bill,39,43,46,Asparagus,43,47,50,Asparagus,Asparagus
"Grid4(17, 3)",51,70,38,Lawn Green,89,112,56,Inchworm,96,118,72,Inchworm,95,117,71,Inchworm,Inchworm
"Grid4(17, 4)",38,54,44,Celadon,37,53,43,Celadon,33,49,39,Celadon,36,52,42,Celadon,Celadon
"Grid4(17, 6)",79,94,61,Inchworm,75,90,57,Inchworm,86,101,68,Inchworm,90,105,72,Inchworm,Inchworm
"Grid4(17, 7)",68,82,56,Lawn Green,46,60,35,Lawn Green,86,105,75,Lawn Green,34,45,37,Celadon,Lawn Green
"Grid4(17, 9)",77,93,54,Inchworm,83,100,55,Inchworm,58,76,50,Lawn Green,107,124,79,Inchworm,Inchworm
"Grid4(17, 10)",79,101,55,Inchworm,83,105,59,Inchworm,93,115,69,Inchworm,80,102,56,Inchworm,Inchworm
"Grid4(17, 11)",69,86,42,Inchworm,95,112,68,Inchworm,101,119,67,Inchworm,83,100,56,Inchworm,Inchworm
"Grid4(17, 13)",73,97,65,Lawn Green,93,106,52,Orange,71,95,63,Lawn Green,74,98,66,Lawn Green,Lawn Green
"Grid4(17, 14)",86,108,59,Inchworm,77,99,50,Inchworm,105,127,78,Inchworm,77,98,59,Lawn Green,Inchworm
"Grid4(17, 15)",41,61,49,Celadon,60,84,52,Lawn Green,69,93,61,Lawn Green,64,88,56,Lawn Green,Lawn Green
"Grid4(17, 16)",76,97,56,Lawn Green,77,98,57,Lawn Green,74,95,54,Lawn Green,75,91,52,Inchworm,Lawn Green
"Grid4(17, 17)",98,119,136,Asparagus,99,120,137,Asparagus,102,123,140,Asparagus,95,116,133,Asparagus,Asparagus
"Grid4(17, 18)",102,104,65,Orange,97,99,60,Orange,135,126,95,Orange,138,129,98,Orange,Orange
"Grid4(17, 19)",86,97,55,Inchworm,87,98,56,Inchworm,84,95,53,Inchworm,91,102,60,Inchworm,Inchworm
"Grid4(17, 20)",66,88,67,Bright Green,70,92,71,Bright Green,60,81,62,Bright Green,67,89,66,Lawn Green,Bright Green
"Grid4(17, 21)",81,133,129,Pistachio,80,132,128,Pistachio,78,130,126,Pistachio,82,134,130,Pistachio,Pistachio
"Grid4(17, 22)",81,100,70,Lawn Green,80,99,69,Lawn Green,83,102,72,Lawn Green,79,98,68,Lawn Green,Lawn Green
"Grid4(17, 23)",75,93,69,Lawn Green,51,69,45,Lawn Green,71,89,65,Lawn Green,49,67,43,Lawn Green,Lawn Green
"Grid4(17, 24)",33,50,31,Lawn Green,31,48,29,Lawn Green,71,97,50,Lawn Green,82,108,61,Lawn Green,Lawn Green
"Grid4(17, 25)",58,66,42,Inchworm,54,62,38,Inchworm,60,75,42,Inchworm,65,76,36,Inchworm,Inchworm
"Grid4(17, 26)",80,90,53,Inchworm,77,86,55,Inchworm,89,99,62,Inchworm,83,93,56,Inchworm,Inchworm
"Grid4(17, 27)",65,78,60,Lawn Green,53,66,48,Lawn Green,63,76,58,Lawn Green,51,64,46,Lawn Green,Lawn Green
"Grid4(17, 28)",49,63,40,Lawn Green,61,76,43,Inchworm,58,73,40,Inchworm,65,80,47,Inchworm,Inchworm
"Grid4(17, 29)",50,68,44,Lawn Green,49,67,43,Lawn Green,46,64,40,Lawn Green,47,65,41,Lawn Green,Lawn Green
"Grid4(17, 30)",41,58,26,Lawn Green,79,106,71,Lawn Green,35,57,34,Lawn Green,37,57,30,Lawn Green,Lawn Green
"Grid4(17, 31)",58,72,46,Lawn Green,70,86,47,Inchworm,100,112,64,Inchworm,74,84,49,Inchworm,Inchworm
"Grid4(17, 32)",79,99,38,Inchworm,61,83,37,Inchworm,57,79,33,Inchworm,59,81,35,Inchworm,Inchworm
"Grid4(17, 33)",69,87,39,Inchworm,77,95,47,Inchworm,74,92,44,Inchworm,61,81,22,Inchworm,Inchworm
"Grid4(17, 36)",41,57,20,Inchworm,75,82,38,Orange,78,85,41,Orange,80,87,43,Orange,Orange
"Grid4(17, 37)",71,81,44,Inchworm,85,95,58,Inchworm,81,91,54,Inchworm,75,85,48,Inchworm,Inchworm
"Grid4(18, 1)",88,105,60,Inchworm,103,119,80,Inchworm,91,107,70,Inchworm,100,118,70,Inchworm,Inchworm
"Grid4(18, 2)",58,75,56,Lawn Green,45,56,50,Celadon,54,71,52,Lawn Green,57,74,55,Lawn Green,Lawn Green
"Grid4(18, 4)",38,53,48,Pastel Green,97,114,72,Inchworm,98,113,72,Inchworm,123,144,75,Inchworm,Inchworm
"Grid4(18, 5)",43,60,42,Lawn Green,52,69,51,Lawn Green,65,85,50,Lawn Green,79,100,59,Lawn Green,Lawn Green
"Grid4(18, 7)",60,80,45,Lawn Green,79,100,59,Lawn Green,40,57,41,Bright Green,37,54,35,Lawn Green,Lawn Green
"Grid4(18, 10)",98,118,59,Inchworm,80,96,60,Inchworm,75,97,51,Inchworm,58,72,46,Lawn Green,Inchworm
"Grid4(18, 11)",33,34,28,Orange,69,84,53,Inchworm,62,77,46,Inchworm,74,91,49,Inchworm,Inchworm
"Grid4(18, 12)",59,77,53,Lawn Green,67,91,59,Lawn Green,61,79,55,Lawn Green,57,75,51,Lawn Green,Lawn Green
"Grid4(18, 13)",42,47,41,Lawn Green,47,49,46,Lawn Green,39,46,38,Lawn Green,40,50,39,Lawn Green,Lawn Green
"Grid4(18, 14)",42,53,45,Celadon,37,48,40,Celadon,35,46,38,Celadon,96,116,57,Inchworm,Celadon
"Grid4(18, 15)",46,73,54,Celadon,70,88,64,Lawn Green,91,122,81,Lawn Green,61,79,55,Lawn Green,Lawn Green
"Grid4(18, 16)",91,80,62,Red,86,97,55,Inchworm,76,92,56,Inchworm,94,105,62,Inchworm,Inchworm
"Grid4(18, 18)",131,128,87,Orange,132,129,88,Orange,126,123,82,Orange,128,125,84,Orange,Orange
"Grid4(18, 19)",109,113,63,Orange,116,120,70,Orange,91,103,57,Inchworm,103,107,57,Orange,Orange
"Grid4(18, 21)",85,136,139,Dollar Bill,81,132,135,Dollar Bill,83,134,137,Dollar Bill,82,133,136,Dollar Bill,Dollar Bill
"Grid4(18, 22)",88,140,136,Pistachio,85,137,133,Pistachio,92,144,140,Pistachio,87,139,135,Pistachio,Pistachio
"Grid4(18, 23)",75,65,56,Red,70,61,52,Red,80,73,54,Red,78,72,46,Orange,Red
"Grid4(18, 25)",55,78,52,Lawn Green,46,61,32,Lawn Green,48,62,39,Lawn Green,53,67,44,Lawn Green,Lawn Green
"Grid4(18, 26)",71,88,46,Inchworm,86,102,63,Inchworm,73,90,46,Inchworm,79,97,49,Inchworm,Inchworm
"Grid4(18, 27)",58,73,44,Lawn Green,62,77,44,Inchworm,54,69,40,Lawn Green,59,74,45,Lawn Green,Lawn Green
"Grid4(18, 28)",69,79,42,Inchworm,68,78,41,Inchworm,85,95,58,Inchworm,76,86,49,Inchworm,Inchworm
"Grid4(18, 29)",53,72,42,Lawn Green,49,68,38,Lawn Green,57,81,45,Lawn Green,51,70,40,Lawn Green,Lawn Green
"Grid4(18, 30)",59,76,34,Inchworm,45,60,29,Inchworm,49,65,29,Inchworm,62,79,35,Inchworm,Inchworm
"Grid4(18, 31)",68,83,50,Inchworm,69,84,51,Inchworm,67,82,49,Inchworm,64,79,46,Inchworm,Inchworm
"Grid4(18, 32)",56,77,36,Lawn Green,55,76,35,Lawn Green,59,80,39,Lawn Green,52,72,37,Lawn Green,Lawn Green
"Grid4(18, 33)",66,89,63,Lawn Green,72,95,69,Lawn Green,64,87,61,Lawn Green,43,67,35,Lawn Green,Lawn Green
"Grid4(18, 34)",65,82,63,Lawn Green,66,83,64,Lawn Green,61,78,59,Lawn Green,64,81,62,Lawn Green,Lawn Green
"Grid4(18, 35)",71,60,42,Red,99,109,49,Orange,97,107,47,Orange,96,106,46,Orange,Orange
"Grid4(18, 36)",41,55,32,Lawn Green,56,71,38,Inchworm,60,75,42,Inchworm,46,61,28,Inchworm,Inchworm
"Grid4(18, 37)",56,66,29,Inchworm,32,43,35,Celadon,51,66,33,Inchworm,52,67,34,Inchworm,Inchworm
"Grid4(19, 0)",29,33,32,Pastel Green,28,32,31,Pistachio,30,34,33,Pistachio,27,31,30,Pistachio,Pistachio
"Grid4(19, 1)",90,98,51,Orange,109,119,59,Orange,94,106,60,Inchworm,70,76,42,Orange,Orange
"Grid4(19, 3)",108,122,61,Orange,103,116,62,Orange,110,117,73,Orange,76,97,58,Lawn Green,Orange
"Grid4(19, 5)",71,95,59,Lawn Green,69,93,57,Lawn Green,65,89,53,Lawn Green,61,85,49,Lawn Green,Lawn Green
"Grid4(19, 6)",97,108,65,Inchworm,68,85,41,Inchworm,88,105,61,Inchworm,116,130,71,Orange,Inchworm
"Grid4(19, 7)",76,93,51,Inchworm,99,119,58,Inchworm,71,89,41,Inchworm,86,103,58,Inchworm,Inchworm
"Grid4(19, 8)",112,132,69,Inchworm,101,121,58,Inchworm,85,96,56,Inchworm,93,113,50,Inchworm,Inchworm
"Grid4(19, 9)",59,77,55,Lawn Green,46,64,40,Lawn Green,65,85,48,Lawn Green,63,81,57,Lawn Green,Lawn Green
"Grid4(19, 11)",38,43,37,Lawn Green,36,41,35,Lawn Green,37,42,36,Lawn Green,35,40,34,Lawn Green,Lawn Green
"Grid4(19, 12)",87,115,57,Inchworm,101,129,71,Inchworm,84,112,54,Inchworm,81,103,54,Inchworm,Inchworm
"Grid4(19, 13)",109,122,69,Orange,108,122,61,Orange,102,116,57,Orange,112,126,67,Orange,Orange
"Grid4(19, 14)",35,40,34,Lawn Green,70,85,52,Inchworm,74,89,56,Inchworm,78,93,60,Inchworm,Inchworm
"Grid4(19, 15)",100,119,64,Inchworm,99,118,63,Inchworm,88,109,68,Lawn Green,97,116,61,Inchworm,Inchworm
"Grid4(19, 16)",94,85,54,Orange,95,86,55,Orange,90,80,55,Red,92,83,52,Orange,Orange
"Grid4(19, 18)",102,111,56,Orange,101,110,55,Orange,100,109,54,Orange,103,112,57,Orange,Orange
"Grid4(19, 19)",98,111,55,Orange,99,112,56,Orange,97,111,50,Orange,97,110,54,Orange,Orange
"Grid4(19, 20)",101,115,54,Orange,99,113,52,Orange,100,114,53,Orange,102,116,55,Orange,Orange
"Grid4(19, 21)",78,95,103,Asparagus,82,99,107,Asparagus,93,110,118,Asparagus,77,94,102,Asparagus,Asparagus
"Grid4(19, 22)",248,255,255,Dollar Bill,240,255,255,Dollar Bill,144,175,195,Asparagus,232,255,255,Dollar Bill,Dollar Bill
"Grid4(19, 23)",69,81,31,Orange,83,99,28,Orange,68,81,27,Orange,187,226,241,Asparagus,Orange
"Grid4(19, 24)",69,60,53,Red,77,68,61,Red,66,57,50,Red,76,67,60,Red,Red
"Grid4(19, 25)",47,62,33,Lawn Green,48,63,34,Lawn Green,53,74,33,Lawn Green,56,77,36,Lawn Green,Lawn Green
"Grid4(19, 27)",30,47,28,Lawn Green,35,48,28,Lawn Green,50,73,47,Lawn Green,61,84,58,Lawn Green,Lawn Green
"Grid4(19, 28)",53,68,39,Lawn Green,58,73,44,Lawn Green,45,47,33,Orange,42,59,40,Lawn Green,Lawn Green
"Grid4(19, 29)",47,55,34,Inchworm,44,45,27,Orange,46,54,33,Inchworm,43,51,30,Inchworm,Inchworm
"Grid4(19, 30)",50,73,47,Lawn Green,58,81,55,Lawn Green,73,97,65,Lawn Green,43,64,49,Celadon,Lawn Green
"Grid4(19, 31)",77,93,54,Inchworm,97,115,63,Inchworm,74,90,54,Inchworm,77,102,62,Lawn Green,Inchworm
"Grid4(19, 32)",37,53,43,Celadon,46,64,40,Lawn Green,43,61,37,Lawn Green,53,76,50,Lawn Green,Lawn Green
"Grid4(19, 33)",65,89,57,Lawn Green,52,76,44,Lawn Green,49,73,41,Lawn Green,47,64,48,Bright Green,Lawn Green
"Grid4(19, 35)",47,66,34,Lawn Green,87,97,34,Orange,46,65,33,Lawn Green,38,56,34,Lawn Green,Lawn Green
"Grid4(19, 36)",37,49,35,Lawn Green,39,56,37,Lawn Green,44,57,37,Lawn Green,49,66,47,Lawn Green,Lawn Green
"Grid4(19, 37)",48,61,43,Lawn Green,42,55,37,Lawn Green,41,54,36,Lawn Green,44,57,39,Lawn Green,Lawn Green
"Grid4(20, 0)",53,75,54,Bright Green,60,82,61,Bright Green,58,80,59,Bright Green,52,74,53,Bright Green,Bright Green
"Grid4(20, 1)",46,51,44,Lawn Green,71,90,58,Lawn Green,82,101,71,Lawn Green,70,89,57,Lawn Green,Lawn Green
"Grid4(20, 2)",33,38,32,Lawn Green,29,40,32,Celadon,44,49,43,Lawn Green,41,46,40,Lawn Green,Lawn Green
"Grid4(20, 3)",76,91,58,Inchworm,81,91,56,Inchworm,98,108,74,Inchworm,74,89,56,Inchworm,Inchworm
"Grid4(20, 6)",32,32,32,black,31,31,31,black,30,30,30,black,34,34,34,black,black
"Grid4(20, 7)",45,46,41,Orange,56,80,48,Lawn Green,57,69,55,Lawn Green,55,67,53,Lawn Green,Lawn Green
"Grid4(20, 8)",35,35,35,black,32,32,32,black,33,33,33,black,37,37,37,black,black
"Grid4(20, 11)",32,33,28,Orange,37,38,33,Orange,40,41,36,Orange,39,40,35,Orange,Orange
"Grid4(20, 13)",49,62,44,Lawn Green,50,63,45,Lawn Green,43,55,41,Lawn Green,47,60,42,Lawn Green,Lawn Green
"Grid4(20, 14)",59,83,51,Lawn Green,47,71,39,Lawn Green,51,75,43,Lawn Green,66,90,58,Lawn Green,Lawn Green
"Grid4(20, 15)",105,116,74,Inchworm,108,119,77,Inchworm,107,118,76,Inchworm,117,128,86,Inchworm,Inchworm
"Grid4(20, 16)",86,100,103,Dollar Bill,73,85,101,Dark Pastel Green,83,95,109,Dark Pastel Green,80,92,108,Dark Pastel Green,Dark Pastel Green
"Grid4(20, 17)",94,114,55,Inchworm,96,116,57,Inchworm,99,119,60,Inchworm,100,109,56,Orange,Inchworm
"Grid4(20, 19)",79,103,43,Inchworm,83,107,47,Inchworm,84,108,48,Inchworm,78,102,42,Inchworm,Inchworm
"Grid4(20, 20)",98,111,55,Orange,94,107,51,Orange,93,106,50,Orange,97,110,54,Orange,Orange
"Grid4(20, 22)",85,125,135,Dollar Bill,67,107,117,Dollar Bill,77,123,136,Dollar Bill,109,159,166,Dollar Bill,Dollar Bill
"Grid4(20, 23)",94,141,149,Dollar Bill,73,120,128,Dollar Bill,81,128,136,Dollar Bill,79,126,134,Dollar Bill,Dollar Bill
"Grid4(20, 24)",64,81,37,Inchworm,70,87,43,Inchworm,65,82,38,Inchworm,58,75,31,Inchworm,Inchworm
"Grid4(20, 25)",39,57,33,Lawn Green,35,53,29,Lawn Green,37,55,31,Lawn Green,38,56,32,Lawn Green,Lawn Green
"Grid4(20, 26)",37,54,35,Lawn Green,35,52,33,Lawn Green,36,53,34,Lawn Green,34,51,32,Lawn Green,Lawn Green
"Grid4(20, 28)",40,53,35,Lawn Green,39,52,34,Lawn Green,50,64,41,Lawn Green,49,73,41,Lawn Green,Lawn Green
"Grid4(20, 29)",49,66,47,Lawn Green,63,84,43,Lawn Green,59,78,48,Lawn Green,51,70,40,Lawn Green,Lawn Green
"Grid4(20, 30)",54,76,55,Bright Green,64,88,56,Lawn Green,70,94,58,Lawn Green,51,69,45,Lawn Green,Lawn Green
"Grid4(20, 31)",60,67,26,Orange,63,70,29,Orange,66,73,32,Orange,67,81,19,Orange,Orange
"Grid4(20, 32)",46,70,38,Lawn Green,63,87,55,Lawn Green,61,84,58,Lawn Green,48,72,40,Lawn Green,Lawn Green
"Grid4(20, 33)",96,113,69,Inchworm,76,93,49,Inchworm,75,91,55,Inchworm,90,101,33,Orange,Inchworm
"Grid4(20, 34)",85,97,51,Inchworm,97,109,63,Inchworm,80,91,51,Inchworm,90,102,56,Inchworm,Inchworm
"Grid4(20, 36)",28,45,29,Bright Green,30,47,31,Bright Green,29,46,30,Bright Green,81,102,61,Lawn Green,Bright Green
"Grid4(20, 37)",44,56,42,Lawn Green,56,73,57,Bright Green,46,59,41,Lawn Green,57,75,51,Lawn Green,Lawn Green
"Grid4(21, 1)",59,77,53,Lawn Green,57,75,51,Lawn Green,40,56,46,Celadon,61,79,55,Lawn Green,Lawn Green
"Grid4(21, 4)",85,102,58,Inchworm,81,98,54,Inchworm,44,56,46,Bright Green,65,80,49,Inchworm,Inchworm
"Grid4(21, 5)",64,88,56,Lawn Green,74,98,66,Lawn Green,67,91,59,Lawn Green,65,89,57,Lawn Green,Lawn Green
"Grid4(21, 6)",47,64,48,Bright Green,42,59,43,Bright Green,40,57,41,Bright Green,49,66,50,Bright Green,Bright Green
"Grid4(21, 7)",71,88,44,Inchworm,94,113,58,Inchworm,94,113,57,Inchworm,103,122,67,Inchworm,Inchworm
"Grid4(21, 9)",64,88,54,Lawn Green,36,47,41,Celadon,87,113,65,Lawn Green,56,79,50,Lawn Green,Lawn Green
"Grid4(21, 11)",36,37,32,Orange,35,36,31,Orange,37,38,33,Orange,68,93,51,Lawn Green,Orange
"Grid4(21, 12)",83,100,56,Inchworm,92,110,60,Inchworm,112,132,73,Inchworm,75,93,45,Inchworm,Inchworm
"Grid4(21, 14)",49,47,34,Orange,50,48,35,Orange,51,49,36,Orange,48,46,33,Orange,Orange
"Grid4(21, 16)",73,86,95,Asparagus,72,85,94,Asparagus,71,84,93,Asparagus,75,88,97,Asparagus,Asparagus
"Grid4(21, 17)",93,106,50,Orange,90,103,47,Orange,91,104,48,Orange,92,105,49,Orange,Orange
"Grid4(21, 18)",91,103,57,Inchworm,89,101,55,Inchworm,87,99,53,Inchworm,82,106,44,Inchworm,Inchworm
"Grid4(21, 19)",91,104,48,Orange,92,105,49,Orange,93,106,50,Orange,89,102,46,Orange,Orange
"Grid4(21, 20)",85,113,117,Dollar Bill,90,118,122,Dollar Bill,91,119,123,Dollar Bill,95,109,48,Orange,Dollar Bill
"Grid4(21, 21)",90,131,137,Dollar Bill,87,128,134,Dollar Bill,81,121,131,Dollar Bill,88,129,135,Dollar Bill,Dollar Bill
"Grid4(21, 22)",79,130,133,Dollar Bill,76,127,130,Dollar Bill,82,133,136,Dollar Bill,74,124,131,Dollar Bill,Dollar Bill
"Grid4(21, 23)",75,115,125,Dollar Bill,86,141,146,Dollar Bill,70,117,125,Dollar Bill,64,104,114,Dollar Bill,Dollar Bill
"Grid4(21, 24)",87,99,53,Inchworm,88,100,54,Inchworm,83,89,51,Orange,95,107,61,Inchworm,Inchworm
"Grid4(21, 25)",40,59,29,Lawn Green,43,62,32,Lawn Green,42,62,25,Lawn Green,47,67,32,Lawn Green,Lawn Green
"Grid4(21, 26)",64,69,39,Orange,68,92,56,Lawn Green,67,91,59,Lawn Green,51,75,43,Lawn Green,Lawn Green
"Grid4(21, 27)",68,69,35,Orange,63,68,38,Orange,65,70,40,Orange,73,78,48,Orange,Orange
"Grid4(21, 28)",60,70,33,Inchworm,54,70,31,Inchworm,61,71,34,Inchworm,59,69,32,Inchworm,Inchworm
"Grid4(21, 29)",54,70,31,Inchworm,59,80,39,Lawn Green,51,76,34,Lawn Green,52,77,35,Lawn Green,Lawn Green
"Grid4(21, 30)",52,55,36,Orange,59,63,38,Orange,57,61,36,Orange,54,58,33,Orange,Orange
"Grid4(21, 32)",41,64,38,Lawn Green,49,72,46,Lawn Green,63,87,51,Lawn Green,37,60,34,Lawn Green,Lawn Green
"Grid4(21, 33)",60,75,42,Inchworm,61,76,43,Inchworm,72,89,45,Inchworm,64,79,46,Inchworm,Inchworm
"Grid4(21, 34)",27,39,25,Lawn Green,26,38,24,Lawn Green,46,52,40,Lawn Green,20,37,21,Bright Green,Lawn Green
"Grid4(21, 35)",31,42,38,Pastel Green,37,45,24,Inchworm,36,44,23,Inchworm,35,43,22,Inchworm,Inchworm
"Grid4(21, 37)",18,29,25,Pastel Green,16,27,23,Pastel Green,15,26,22,Pastel Green,21,32,28,Pastel Green,Pastel Green
"Grid4(22, 1)",34,50,40,Celadon,39,55,45,Celadon,37,53,43,Celadon,40,56,46,Celadon,Celadon
"Grid4(22, 3)",41,52,48,Pastel Green,38,49,45,Pastel Green,42,53,49,Pastel Green,36,47,43,Pastel Green,Pastel Green
"Grid4(22, 5)",34,35,30,Orange,33,34,29,Orange,35,36,31,Orange,37,38,33,Orange,Orange
